Contract Address,Contract Risk Level,Associate DApp
0x053b278e22e6119f1e333b10bd6d0ad3d7a8cd20,1,Decentraland
0x3a81d175f3dfd76e5013a57772929ed85f7d6380,0,Cryptovoxels
0xba2b246a9764d477c55005c9bedcd00296e093a4,1,Decentraland
0xbf05dedd050cc1da82fd729260e59f2417df5d3b,0,Lido
0xdde2d979e8d39bb8416eafcfc1758f3cab2c9c72,0,KnownOrigin
0xb77e25acbf8e75a91bf468120c5789534a4dce52,0,KnownOrigin
0x4293ecaafd8b7b21b4100844e3a34a433b725d56,0,Foundation
0xbcdd66d4b200960227049fb5ec411eac018cd55a,0,Lido
0x60c59559df888a5067c2204d207db00e20403e91,0,Decentraland
0x8eee81d817c9548615d69c485074b55df487ab95,0,Foundation
0x48980227f694210e814b9ca0a156aa9962915a2f,0,Foundation
0xabcaea6f4099b1ed62169d39c26f808f948c86d6,0,Decentraland
0x4B43D8A35257F42a2D0d4D774409208eFC31B406,0,Foundation
0x1975bb03de10f058d6048ef3f00e1a704b7a0b39,0,Foundation
0x0570318951cfb0e0c4c2af3070c1c040e0e8790b,0,Decentraland
0x6d306c48ee21a9d125d366bab9e2a6f0ffe53c5b,0,Foundation
0x7b22713f2e818fad945af5a3618a2814f102cbe0,0,Foundation
0xeabafcdc7a7ad024b3bfa76c5d9d768dd1c87a46,0,Decentraland
0x4Dc868D79611C2bdcA51dEE62873EB3A31423B47,1,Decentraland
0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,10,Cryptopunk
0x6ba6f2207e343923ba692e5cae646fb0f566db8d,0,Cryptopunk
0x40b8bdde863537aa9ffe65dc5b8faff2a21f9c14,1,Decentraland
0xce55f653b5b7a112bfe2ef55fa5621abdab16d39,0,Decentraland
0x305505c8c9d51602f3ebe0ce984ab2aeb0df3172,0,Foundation
0xa9eb03f3a499e274170c378f958e4a0cbea2c7ef,0,Foundation
0x1450bde80a5c4082857827814f269d94d109771b,0,Foundation
0x2b6a877fafd33cd3ee98e772acafe7b6cff7c33b,0,Decentraland
0x4d955929f1e475bf542922f7ad82d7f782d86e77,0,Foundation
0x399caff06e6419a8a3a6d4d1d2b94cb14ddeda87,0,Decentraland
0xf886313f213c198458eba7ae9329525e64eb763a,1,Decentraland
0xc91ca445acdae9eebaf003a64088ca29a694c3ae,0,Foundation
0x2ad0ebb0ffa7a9c698ae7f1d23bd7d86ff0ae386,0,Foundation
0xC00C9ed7f35Ca2373462FD46d672084a6a128E2B,0,Foundation
0x662f62aea0051fa874f36e56f299dc12f16f667f,0,Foundation
0xfbeef911dc5821886e1dda71586d90ed28174b7d,10,KnownOrigin
0x2c9765a75c2c2a00a9ec870978935c5f74868369,0,Lido
0xbf8739f1c903974b90D758Fd0bbB2Bfc79022E8F,0,Sandbox
0x2aac8b0bcc52f0ba1d971fc91dd5d60101391f7f,0,Uniswap
0xFC1665BD717dB247CDFB3a08b1d496D1588a6340,5,Uniswap
0x5D0deC4AE7Ec2F0cA9BAB4F4AAB9ec8CBCaFF0A3,5,SushiSwap
0x492E507a9b3645C458E16408eC8C2468a3eF82F3,5,Uniswap
0xa9190eb4b853db4538bbc6d3b0df5d5240e38fd3,0,Uniswap
0x3823Ac41b77e51bf0E6536CE465479cBdedcaEa9,0,Uniswap
0xe27e43e3cde491a28cf1df4b6cbf6e4edf8e6298,0,Aave
0x8C0f18b8B74aA66824F88104E72F32182d79E659,5,Aave
0x3258a7d31ab32eEaBDa47032E97EfFeA3Bc9567D,0,Uniswap
0xAb7271247c4C082BF3903b4112885BC2158C10a3,0,Aave
0x36abc8fe8e20Bc4637EdA83B5AD9810e9e54Bf13,0,Compound
0x5EF1009b9FCD4fec3094a5564047e190D72Bd511,0,Uniswap
0x0bE0ACb220aAfFB018b08D36f9347572305E31A1,5,SushiSwap
0x33a6775cbce74145f56807F4B5722942ccc28A39,5,Uniswap
0xb19e167a08Ac98CB76466002Ea8447C295E789D8,0,Aave
0x77AC8B503eEf27e296b1AB8FBbe06AB4929116a5,0,Aave
0xeC813E53Af13dDA77EAEF1a4B5804DB5f8208F2E,5,Aave
0x33ec900B63E61E145fdD4c0cdE97AB1148CF4B47,5,Aave
0x9AA973C668f74B112bFF830a202cb3771e401Eb0,5,Aave
0x0d605b5e3910345edd4624730406c15a4293900d,0,Uniswap
0xf1AFA2f0abae3Da08E5d181ea2E5D7481ce3b481,0,Ribbon
0x153bccf926281f8baec54d04f7adf4f60eadcd07,5,Aave
0x0efb384d843a191c02f5c4470d0f9ec0122a1c0b,5,Aave
0x4e550ec834b78d38ce3cb101766e8f04db3bc05d,5,Aave
0x3371de12e8734c76f70479dae3a9f3dc80cdceab,0,Aave
0x900E5Af86BC691F1d431bBFed87E0DC41e1D8a57,0,Ribbon
0x958f79e2998DFe417208b9A07D799265B0298e58,0,DODO
0xb159260989012fA98af560A3Fa6D9cd11a64cf6E,0,DODO
0x1566283d67356420cff16246728fb8cfcd7fa261,5,Uniswap
0x305EB9Fc821bf4FFB68eB88ea2089d4A89695fF1,0,Uniswap
0x02fcb21dc1cf221939c1d4277fb54016b5d32bc7,5,DODO
0xCDcF57Dfa6eFd5862b0f8F37a611876CA4aad3f9,0,Uniswap
0x3a2c387b84b28F438aaF53e6d0B8e790D084D1d1,0,Compound
0xd97fE382b923F75Ab8951915eCF07CBf12c102D4,0,Aave
0x4fe4af886e32805daa04d21cc2c7011f9dd78c96,5,SushiSwap
0x13be51C0eC9eB264aD19d7FE372f73376E274Cad,5,SushiSwap
0x53233ABD9108761258a4B6B7822abFD6716B129B,0,DODO
0xc4436fBAE6eBa5d95bf7d53Ae515F8A707Bd402A,5,DODO
0x6fbcab3f7ac65f5920454c2a3fb11d748a14876c,0,Uniswap
0xe1b9b483b56499f81573e20ca779ac1e25486c55,0,Compound
0x357c5E9cfA8B834EDcef7C7aAbD8F9Db09119d11,0,DODO
0x54b32b288d7904D5d98Be1910975a80e45DA5e8d,0,Aave
0x12a5e1c81b10b264a575930aeae80681ddf595fe,0,Uniswap
0x6B7A41B5Bd86f19214a5a03e4C4a6Da76f347DaB,0,Compound
0x4366Ba3F0709737423dD607ad479Bc832E425b86,0,Compound
0x2197eCc5b1EA917ADcF02DcC4343b0e9B8A8C99c,0,Uniswap
0xfc86f82BdD8Ad4e1b79e48d570A04E3F2f208C0F,0,Aave
0xed4fA9580053bbfd62c3b03cC29a939F44698617,0,Compound
0x5acedba6c402e2682d312a7b4982eda0ccf2d2e3,5,Uniswap
0x5d8d3bbe66076e844c82b989f8430fa92cf67dba,0,Uniswap
